 
 
 ! The solution file is: SaveSims\coaltest
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 9
 
 USA         ,-2.14181127E-04,
 EU27        ,-3.91440371E-05,
 EEFSU       , 4.39080817E-04,
 JPN         ,-2.04521493E-04,
 RoA1        , 1.64141660E-04,
 EEx         , 3.19454208E-04,
 CHN         ,-3.27365815E-05,
 IND         ,-5.49103715E-05,
 ROW         , 4.25815097E-06,
 
 
 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 9
 
 USA         ,-2.13214415E-04,
 EU27        ,-1.22542879E-05,
 EEFSU       , 6.83612074E-04,
 JPN         ,-8.03541479E-05,
 RoA1        , 2.69000157E-04,
 EEx         , 6.63665938E-04,
 CHN         ,-1.70446292E-05,
 IND         ,-1.04087529E-04,
 ROW         , 5.46233787E-05,
 
 
 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 8x9
 
 pgd(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Coal        ,-2.57442938E-03,-7.65633350E-03,-3.54126352E-03,-7.17696326E-04,-4.17660624E-02,-7.37309223E-03,-2.12114537E-03,-1.37420057E-03,-3.69448983E-03,
 Oil         , 2.25785584E-03, 2.09675962E-03, 1.89908105E-03, 2.26260582E-03, 2.13353755E-03, 2.23655230E-03, 2.16347072E-03, 2.23350897E-03, 2.21760711E-03,
 Gas         , 2.69653415E-03, 1.79132028E-03, 1.25548244E-03, 1.83419965E-03, 3.91996326E-03, 2.68336781E-03, 2.33938452E-03, 1.59160735E-03, 1.59187370E-03,
 Oil_pcts    , 1.71868142E-03, 1.57206669E-03, 1.48114155E-03, 1.70170434E-03, 1.43163535E-03, 1.53836934E-03, 1.72548718E-03, 1.75682583E-03, 1.59386394E-03,
 Electricity , 1.85291283E-04, 6.43447493E-05, 2.92800833E-04,-6.81496051E-04,-1.22179114E-03, 2.24478732E-04, 7.31125547E-05,-5.96111408E-04, 1.41338605E-04,
 En_Int_ind  , 2.60391214E-04, 1.62132696E-04, 3.20309831E-04, 1.94304128E-04, 6.10535935E-05, 1.65007223E-04, 1.93791115E-04, 2.38666325E-04, 2.00527735E-04,
 Oth_ind_ser , 1.05739848E-04, 2.49368040E-05, 7.96442837E-05, 3.12249322E-05,-3.04405166E-05, 1.11086447E-05, 1.95442335E-05, 4.01028628E-05, 1.71113643E-05,
 
 
 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 8x9
 
 qgm(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,-1.09017920E-03,-1.85158206E-04, 1.34858966E-03,-4.35603550E-04, 8.45686882E-04, 1.12601707E-03,-1.90629609E-04,-8.48214549E-04, 5.35456566E-05,
 Coal        ,-9.62914303E-02, 2.24619620E-02, 1.29010398E-02, 1.26717344E-03, 0.12556475    , 1.53003260E-02, 5.06874220E-03, 3.56515031E-03, 6.04553940E-03,
 Oil         ,-1.55671192E-02,-3.79295694E-03,-2.82162044E-04,-7.36983540E-03, 4.52335895E-04, 1.36291899E-04,-6.55612256E-03,-6.09625969E-03,-1.71017530E-03,
