 
 
 ! The solution file is: GTAP_Files\SaveSims\coal50
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Oil_pcts    , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Electricity , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 En_Int_ind  , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oth_ind_ser , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 
 ! The matrix qiw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
 qiw(TRAD_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Coal        , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Gas         , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oil_pcts    , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Electricity , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 En_Int_ind  , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 Oth_ind_ser , 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10, 1.00000000E+10,
 
 
 ! Variable qo # industry output of commodity i in region r #
 ! Variable qo(NSAV_COMM:REG:Lin+Lev) of size 14x9x4
 
 ! (This array is shown as 4 matrices - each of size 14x9.)
 
 ! The matrix qo(%1:%2:"Linear") with %1 in NSAV_COMM and %2 in REG. +++++++++
 qo(NSAV_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Unsklab     ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Sklab       ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 capital     ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 NatRes      ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Agr         , 1.87187959E-02,-1.87000690E-03,-8.79907981E-03,-1.65841647E-03,-2.63811890E-02,-1.16909519E-02,-3.33008659E-03,-4.08758968E-03,-6.81574456E-03,
 Coal        , -41.359615    ,-0.47912142    ,-0.49184042    ,-8.06152001E-02,-0.79219288    , -2.7749236    ,-3.67588364E-02,-5.97089492E-02,-0.58913261    ,
 Oil         ,  1.7575161    , 0.18872219    , 8.35559815E-02, 0.27220279    , 0.13409489    , 0.13119988    , 0.14937527    , 0.17336200    , 0.18494231    ,
 Gas         ,  9.6243057    , 0.46996623    , 0.17849523    , 0.84536624    , 0.67335111    , 0.18449378    , 0.20861718    , 0.22948585    , 0.49956501    ,
 Oil_pcts    ,  1.2564245    ,-2.31747013E-02, 1.68864301E-03,-5.23074307E-02, 8.24458227E-02, 2.62530847E-03,-1.14616174E-02,-4.16666046E-02,-2.24542040E-02,
 Electricity , 0.13147864    , 1.65620353E-02,-2.65277028E-02,-7.54717679E-04,-2.40174159E-02,-1.98969990E-02, 1.36986626E-02, 1.98324118E-02, 2.13916157E-03,
 En_Int_ind  , 1.16147371E-02, 1.60472246E-03,-0.10824372    ,-3.29390354E-03,-6.63741380E-02,-7.04348683E-02, 1.66779431E-03,-8.67544860E-03,-1.96912959E-02,
 Oth_ind_ser , 6.20744936E-03,-4.21660626E-03,-1.09056784E-02,-3.47042875E-03,-1.32240588E-02,-2.04774085E-02,-5.93291875E-03,-7.17130722E-03,-8.17937683E-03,
 CGDS        , 6.57259375E-02,-2.15514414E-02, 5.13311476E-03,-3.86913121E-02, 2.51455083E-02, 9.51888319E-03,-8.76756385E-03,-1.36414701E-02,-2.15845145E-02,
 
 ! The matrix qo(%1:%2:"PreLevel") with %1 in NSAV_COMM and %2 in REG. +++++++
 qo(NSAV_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        ,  35949.723    ,  58359.469    ,  29862.523    ,  7231.9214    ,  17626.684    ,  63549.789    ,  101196.55    ,  75479.117    ,  89126.328    ,
 Unsklab     ,  4601754.0    ,  3562365.2    ,  476912.75    ,  1223781.8    ,  938482.81    ,  931558.38    ,  1174765.0    ,  406102.56    ,  1843754.9    ,
 Sklab       ,  3602676.2    ,  2553109.0    ,  217016.66    ,  753625.44    ,  621895.00    ,  379731.06    ,  377266.94    ,  143036.64    ,  882590.75    ,
 capital     ,  3496405.0    ,  6148735.0    ,  777963.81    ,  1575843.5    ,  1022430.4    ,  2151562.8    ,  1405732.6    ,  476423.06    ,  2613041.5    ,
 NatRes      ,  51362.812    ,  40541.473    ,  81651.641    ,  4193.8506    ,  61962.266    ,  259022.28    ,  60423.766    ,  11036.758    ,  74244.383    ,
 Agr         ,  325641.38    ,  533307.19    ,  231561.30    ,  94374.375    ,  126417.23    ,  396808.56    ,  620292.06    ,  267471.50    ,  667918.62    ,
 Coal        ,  48171.855    ,  21113.312    ,  20424.488    ,  52.103657    ,  25869.225    ,  20050.928    ,  76392.969    ,  8025.5737    ,  12711.221    ,
 Oil         ,  127833.05    ,  61123.188    ,  251008.92    ,  405.40616    ,  123765.91    ,  823156.81    ,  79319.875    ,  14947.098    ,  197629.14    ,
 Gas         ,  136249.16    ,  51681.777    ,  113374.15    ,  1382.8026    ,  77192.742    ,  158129.25    ,  6513.8823    ,  7341.0039    ,  44367.613    ,
 Oil_pcts    ,  518161.56    ,  707859.00    ,  199935.17    ,  243386.88    ,  109524.67    ,  330523.62    ,  275907.94    ,  108936.48    ,  432483.31    ,
 Electricity ,  387983.16    ,  518685.97    ,  208488.72    ,  158996.86    ,  88650.656    ,  137731.33    ,  257278.20    ,  79889.641    ,  249882.58    ,
 En_Int_ind  ,  1379653.5    ,  2562831.0    ,  303909.31    ,  709759.88    ,  505036.78    ,  633414.56    ,  1817375.5    ,  246653.44    ,  1368739.9    ,
 Oth_ind_ser ,  22271296.    ,  28061718.    ,  2231382.2    ,  7365166.5    ,  4979250.0    ,  4706445.5    ,  6565258.5    ,  1622550.0    ,  9826202.0    ,
 CGDS        ,  2685592.2    ,  3679579.0    ,  447959.16    ,  1009526.0    ,  787030.31    ,  971309.19    ,  1423250.1    ,  424270.19    ,  1403930.1    ,
 
 ! The matrix qo(%1:%2:"PostLevel") with %1 in NSAV_COMM and %2 in REG. ++++++
 qo(NSAV_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        ,  35949.723    ,  58359.469    ,  29862.523    ,  7231.9214    ,  17626.684    ,  63549.789    ,  101196.55    ,  75479.117    ,  89126.328    ,
 Unsklab     ,  4601754.0    ,  3562365.2    ,  476912.75    ,  1223781.8    ,  938482.81    ,  931558.38    ,  1174765.0    ,  406102.56    ,  1843754.9    ,
 Sklab       ,  3602676.2    ,  2553109.0    ,  217016.66    ,  753625.44    ,  621895.00    ,  379731.06    ,  377266.94    ,  143036.64    ,  882590.75    ,
 capital     ,  3496405.0    ,  6148735.0    ,  777963.81    ,  1575843.5    ,  1022430.4    ,  2151562.8    ,  1405732.6    ,  476423.06    ,  2613041.5    ,
 NatRes      ,  51362.812    ,  40541.473    ,  81651.641    ,  4193.8506    ,  61962.266    ,  259022.28    ,  60423.766    ,  11036.758    ,  74244.383    ,
 Agr         ,  325702.34    ,  533297.19    ,  231540.92    ,  94372.812    ,  126383.88    ,  396762.16    ,  620271.38    ,  267460.56    ,  667873.12    ,
 Coal        ,  28248.162    ,  21012.154    ,  20324.033    ,  52.061653    ,  25664.291    ,  19494.529    ,  76364.891    ,  8020.7817    ,  12636.335    ,
 Oil         ,  130079.74    ,  61238.539    ,  251218.66    ,  406.50967    ,  123931.87    ,  824236.81    ,  79438.359    ,  14973.010    ,  197994.64    ,
 Gas         ,  149362.19    ,  51924.664    ,  113576.52    ,  1394.4923    ,  77712.523    ,  158420.98    ,  6527.4712    ,  7357.8506    ,  44589.258    ,
 Oil_pcts    ,  524671.88    ,  707694.94    ,  199938.55    ,  243259.56    ,  109614.97    ,  330532.31    ,  275876.31    ,  108891.09    ,  432386.19    ,
 Electricity ,  388493.28    ,  518771.88    ,  208433.41    ,  158995.66    ,  88629.367    ,  137703.92    ,  257313.45    ,  79905.484    ,  249887.92    ,
 En_Int_ind  ,  1379813.8    ,  2562872.2    ,  303580.34    ,  709736.50    ,  504701.56    ,  632968.44    ,  1817405.8    ,  246632.05    ,  1368470.4    ,
 Oth_ind_ser ,  22272678.    ,  28060534.    ,  2231139.0    ,  7364911.0    ,  4978591.5    ,  4705481.5    ,  6564869.0    ,  1622433.6    ,  9825398.0    ,
 CGDS        ,  2687357.5    ,  3678786.0    ,  447982.16    ,  1009135.4    ,  787228.19    ,  971401.62    ,  1423125.4    ,  424212.31    ,  1403627.1    ,
 
 ! The matrix qo(%1:%2:"Changes") with %1 in NSAV_COMM and %2 in REG. ++++++++
 qo(NSAV_COMM:REG:"Changes"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Unsklab     ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Sklab       ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 capital     ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 NatRes      ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,
 Agr         ,  60.968750    , -10.000000    , -20.375000    , -1.5625000    , -33.351562    , -46.406250    , -20.687500    , -10.937500    , -45.500000    ,
 Coal        , -19923.693    , -101.15820    , -100.45508    ,-4.20036316E-02, -204.93359    , -556.39844    , -28.078125    , -4.7919922    , -74.885742    ,
 Oil         ,  2246.6875    ,  115.35156    ,  209.73438    ,  1.1035156    ,  165.96094    ,  1080.0000    ,  118.48438    ,  25.912109    ,  365.50000    ,
 Gas         ,  13113.031    ,  242.88672    ,  202.36719    ,  11.689697    ,  519.78125    ,  291.73438    ,  13.588867    ,  16.846680    ,  221.64453    ,
 Oil_pcts    ,  6510.3125    , -164.06250    ,  3.3750000    , -127.31250    ,  90.296875    ,  8.6875000    , -31.625000    , -45.390625    , -97.125000    ,
 Electricity ,  510.12500    ,  85.906250    , -55.312500    , -1.2031250    , -21.289062    , -27.406250    ,  35.250000    ,  15.843750    ,  5.3437500    ,
 En_Int_ind  ,  160.25000    ,  41.250000    , -328.96875    , -23.375000    , -335.21875    , -446.12500    ,  30.250000    , -21.390625    , -269.50000    ,
 Oth_ind_ser ,  1382.0000    , -1184.0000    , -243.25000    , -255.50000    , -658.50000    , -964.00000    , -389.50000    , -116.37500    , -804.00000    ,
 CGDS        ,  1765.2500    , -793.00000    ,  23.000000    , -390.62500    ,  197.87500    ,  92.437500    , -124.75000    , -57.875000    , -303.00000    ,
 
 
 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG:Lin+Lev) of size 14x9x4
 
 ! (This array is shown as 4 matrices - each of size 14x9.)
 
 ! The matrix pm(%1:%2:"Linear") with %1 in NSAV_COMM and %2 in REG. +++++++++
 pm(NSAV_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        , 6.75657764E-02,-1.35518122E-03,-9.74857155E-03,-6.40353281E-03,-9.02485922E-02,-3.09507903E-02,-1.46587277E-02,-2.52793692E-02,-1.99185126E-02,
 Unsklab     ,-3.61259207E-02,-3.00351856E-03, 2.63065659E-02,-1.21880164E-02, 5.02072694E-03, 1.38880014E-02,-2.67219823E-03,-7.13250134E-03,-1.70232597E-04,
 Sklab       ,-3.47626093E-03,-2.73803202E-03, 2.93015782E-02,-1.22216335E-02, 6.07494731E-03, 1.36275552E-02,-3.83457984E-03,-7.30516156E-03,-1.67711475E-03,
