 
 
 ! The solution file is: GTAP_Files\SaveSims\coal01
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG:Lin+Lev) of size 9x4
 
 psave(REG:Lin+Lev),Linear         ,PreLevel       ,PostLevel      ,Changes        ,
 Oil         , 2.47237913E-04, 1.14570418E-03, 1.17552700E-02, 8.02483555E-06, 2.28762086E-02, 5.52478880E-02, 4.52924360E-06, 2.17112785E-04, 1.01288203E-02,
 Gas         , 6.57615674E-05, 1.15594536E-03, 1.82904527E-02, 5.95735350E-10, 3.86476330E-03, 2.90614683E-02, 5.10933873E-09, 0.19760908    , 6.32830113E-02,
 Oil_pcts    , 3.66162509E-04, 1.09307989E-02, 0.35702142    , 1.22965401E-04, 5.04724644E-02,  2.2051878    , 2.74551367E-05, 0.65610075    ,  2.8591497    ,
 Electricity , 4.65330289E-04, 1.82924140E-02, 9.87076536E-02, 1.57768183E-04, 6.52714446E-02, 0.10430846    , 8.00638736E-05, 0.61358309    ,  1.4492809    ,
 En_Int_ind  ,  2.7210269    ,  18195.043    ,  192.23604    ,  16.572649    ,  1286.2584    ,  4545.8813    , 0.36864951    ,  2046.8550    ,  1305.4055    ,
 Oth_ind_ser ,  2258347.2    ,  3423760.0    ,  327108.62    ,  787193.00    ,  580651.38    ,  445006.97    ,  474784.44    ,  125526.47    ,  952224.12    ,
 
 ! The matrix qgd(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qgd(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 0.57892048    ,  78.863998    ,  2027.2351    , 0.24811952    ,  304.40634    ,  208.51875    , 0.12068120    ,  1053.5681    ,  2055.8022    ,
 Coal        , 4.56934958E-06, 8.01728049E-04, 2.41337754E-02, 3.57119063E-07, 2.23516282E-02, 6.13609736E-05, 1.53293158E-07, 1.50652099E-02, 2.31730752E-02,
 Oil         , 2.47236749E-04, 1.14569021E-03, 1.17552206E-02, 8.02478917E-06, 2.28757989E-02, 5.52475490E-02, 4.52922131E-06, 2.17110995E-04, 1.01286750E-02,
